nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
Arroz Agulhinha Tipo 1 TIO JOÃO Pacote 1kg,https://www.paodeacucar.com/produto/31117/arroz-agulhinha-tipo-1-tio-joao-pacote-1kg,50.0,170.0,40.0,3.0,0.0,0.0,1.0,0.0,0.0,2025-10-16 08:50:23,Não especificada,7893500020110
Queijo Mussarela Fatiado Tirolez 150g,https://www.paodeacucar.com/produto/353791/queijo-mussarela-fatiado-tirolez-150g,30.0,106.0,0.0,7.5,8.4,5.2,0.0,0.0,147.0,2025-10-16 08:50:40,Não especificada,7896030520259
Tomate Granel 500g (Aprox. 2 a 3 Unid),https://www.paodeacucar.com/produto/67366/tomate-granel-500g-(aprox--2-a-3-unid),50.0,10.0,2.3,0.0,0.0,0.0,0.0,0.0,21.0,2025-10-16 08:51:16,Não especificada,287784
Creme de Leite Nestlé 200g,https://www.paodeacucar.com/produto/43804/creme-de-leite-nestle-200g,15.0,28.0,0.7,0.4,0.1,1.7,0.0,0.7,9.6,2025-10-16 08:51:34,Não especificada,7891000126905
Queijo Parmesão Ralado FAIXA AZUL Pacote 100g,https://www.paodeacucar.com/produto/80746/queijo-parmesao-ralado-faixa-azul-pacote-100g,10.0,47.0,0.0,3.9,3.4,2.1,0.0,0.0,118.0,2025-10-16 08:51:52,Não especificada,7891999960108
Medalhão De Filé Mignon Bovino Resfriado 550g,https://www.paodeacucar.com/produto/152271/medalhao-de-file-mignon-bovino-resfriado-550g,100.0,280.0,0.0,16.0,24.0,9.0,0.0,0.0,130.0,2025-10-16 08:52:45,Não especificada,1304
Queijo Prato Fatiado Président 300g,https://www.paodeacucar.com/produto/674037/queijo-prato-fatiado-president-300g,30.0,103.0,0.6,8.3,7.5,5.7,0.0,0.0,120.0,2025-10-16 08:53:02,Não especificada,7891097103858
Suco Pink Limonade Natural One Refrigerado Garrafa 900ml,https://www.paodeacucar.com/produto/305494/suco-pink-limonade-natural-one-refrigerado-garrafa-900ml,0.0,96.0,23.0,0.0,0.0,0.0,0.0,14.0,0.0,2025-10-16 08:53:20,Não especificada,7898553443886
Queijo Prato Fatiado TIROLEZ 150g,https://www.paodeacucar.com/produto/353790/queijo-prato-fatiado-tirolez-150g,30.0,107.0,0.0,6.6,0.2,6.0,0.0,0.0,150.0,2025-10-16 08:53:39,Não especificada,7896030520204
Queijo Prato Fatiado Président 150g,https://www.paodeacucar.com/produto/339742/queijo-prato-fatiado-president-150g,40.0,147.0,0.9,11.0,11.0,7.7,0.0,0.0,201.0,2025-10-16 08:53:56,Não especificada,7898955617519
Chuchu Extra Granel 600g (Aprox. 1 a 2 Unid),https://www.paodeacucar.com/produto/50857/chuchu-extra-granel-600g-(aprox--1-a-2-unid),70.0,22.0,5.4,0.6,0.0,0.0,0.0,0.0,10.0,2025-10-16 08:54:14,Não especificada,337083
Brócolis Ninja QUALITÁ 300g,https://www.paodeacucar.com/produto/34660/brocolis-ninja-qualita-300g,60.0,15.0,2.4,2.2,0.0,0.0,1.7,0.0,0.0,2025-10-16 08:54:50,Não especificada,7895000241651
Feijão Preto Tipo 1 CAMIL Pacote 1kg,https://www.paodeacucar.com/produto/9493/feijao-preto-tipo-1-camil-pacote-1kg,30.0,80.0,13.0,5.0,0.0,0.0,6.0,0.0,0.0,2025-10-16 08:55:08,Não especificada,7896006751113
Macarrão com Ovos Parafuso Barilla Pacote 500g,https://www.paodeacucar.com/produto/279929/macarrao-com-ovos-parafuso-barilla-pacote-500g,80.0,278.0,58.0,9.1,1.2,0.0,2.1,0.0,13.0,2025-10-16 08:55:26,Não especificada,7898951850118
Mamão Papaya Granel 750g (1 Unid),https://www.paodeacucar.com/produto/72624/mamao-papaya-granel-750g-(1-unid),100.0,35.0,9.1,0.0,0.0,0.0,0.7,0.0,0.0,2025-10-16 08:55:44,Não especificada,259163
Margarina Cremosa com Sal Qualy Pote 500g,https://www.paodeacucar.com/produto/71812/margarina-cremosa-com-sal-qualy-pote-500g,10.0,72.0,0.0,0.0,0.1,2.4,0.0,0.0,58.0,2025-10-16 08:56:20,Não especificada,7893000394209
Queijo Parmesão Cilindro Président 180g,https://www.paodeacucar.com/produto/1466430/queijo-parmesao-cilindro-president-180g,30.0,121.0,0.0,9.4,0.7,5.9,0.0,0.0,174.0,2025-10-16 08:56:39,Não especificada,7891097104619
Abacaxi Pérola Unidade,https://www.paodeacucar.com/produto/94589/abacaxi-perola-unidade,50.0,26.0,6.8,0.0,0.0,0.0,0.0,0.0,5.3,2025-10-16 08:57:32,Não especificada,7898963658092
Tomate Italiano Orgânico Taeq 500g,https://www.paodeacucar.com/produto/170660/tomate-italiano-organico-taeq-500g,100.0,15.0,3.1,1.1,0.0,0.0,1.2,0.0,1.0,2025-10-16 08:58:09,Não especificada,7895000290147
Azeite de Oliva Extra Virgem Clássico Espanhol Borges Vidro 500ml,https://www.paodeacucar.com/produto/55763/azeite-de-oliva-extra-virgem-classico-espanhol-borges-vidro-500ml,0.0,108.0,0.0,0.0,12.0,1.9,0.0,0.0,0.0,2025-10-16 08:58:27,Não especificada,8410179100036
Queijo Mussarela TIROLEZ Fatiado Bandeja 150g,https://www.paodeacucar.com/produto/108214/queijo-mussarela-tirolez-fatiado-bandeja-150g,30.0,80.0,1.0,6.0,6.0,4.0,0.0,0.0,115.0,2025-10-16 08:59:02,Não especificada,15035
Tapioca Da Terrinha Pacote 500g,https://www.paodeacucar.com/produto/273343/tapioca-da-terrinha-pacote-500g,60.0,145.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 08:59:20,Não especificada,7898994081623
Macarrão com Ovos Penne Rigate Barilla Pacote 500g,https://www.paodeacucar.com/produto/279931/macarrao-com-ovos-penne-rigate-barilla-pacote-500g,80.0,278.0,58.0,9.1,1.2,0.0,2.1,0.0,13.0,2025-10-16 08:59:38,Não especificada,7898951850095
Óleo de Soja LIZA Pet 900ml,https://www.paodeacucar.com/produto/131661/oleo-de-soja-liza-pet-900ml,0.0,108.0,0.0,0.0,12.0,1.9,0.0,0.0,0.0,2025-10-16 08:59:57,Não especificada,7896036090244
Queijo Mussarela Fatiado Sadia 150g,https://www.paodeacucar.com/produto/1548200/queijo-mussarela-fatiado-sadia-150g,30.0,96.0,0.6,7.2,7.2,4.0,0.0,0.6,128.0,2025-10-16 09:00:16,Não especificada,7891515591939
"Salada Riviera (Alface Americana, Alface Romana e Cenoura) LA VITA 250g","https://www.paodeacucar.com/produto/78122/salada-riviera-(alface-americana,-alface-romana-e-cenoura)-la-vita-250g",100.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 09:00:33,Não especificada,7898904845024
"Iogurte Parcialmente Desnatado Morango Danone Garrafa 1,25kg Embalagem Supereconômica","https://www.paodeacucar.com/produto/655414/iogurte-parcialmente-desnatado-morango-danone-garrafa-1,25kg-embalagem-supereconomica",200.0,140.0,25.0,5.5,2.0,1.2,0.0,0.0,87.0,2025-10-16 09:00:52,Não especificada,7891025121923
Queijo Processado UHT Original Polenguinho 136g 8 Unidades,https://www.paodeacucar.com/produto/321742/queijo-processado-uht-original-polenguinho-136g-8-unidades,30.0,76.0,1.1,3.0,0.3,4.1,0.0,0.0,213.0,2025-10-16 09:01:10,Não especificada,7891143017405
Salada Tropical Higienizada La Vita 200g,https://www.paodeacucar.com/produto/238062/salada-tropical-higienizada-la-vita-200g,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2025-10-16 09:01:28,Não especificada,7898904845840
Queijo Gorgonzola Fracionado Vigor 100g,https://www.paodeacucar.com/produto/472043/queijo-gorgonzola-fracionado-vigor-100g,30.0,104.0,0.0,5.7,0.3,5.8,0.0,0.0,252.0,2025-10-16 09:01:46,Não especificada,7891999006271
Batata Comum Orgânica Taeq 600g,https://www.paodeacucar.com/produto/133442/batata-comum-organica-taeq-600g,80.0,64.0,14.7,1.8,0.0,0.0,1.2,0.0,0.0,2025-10-16 09:02:04,Não especificada,7895000288090
Manteiga com Sal Aviação Pote 200g,https://www.paodeacucar.com/produto/6971/manteiga-com-sal-aviacao-pote-200g,10.0,75.0,0.0,0.0,0.4,5.3,0.0,0.0,46.0,2025-10-16 09:02:23,Não especificada,7896331100310
Tofu Macio Orgânico Ecobras Bandeja 270g,https://www.paodeacucar.com/produto/126673/tofu-macio-organico-ecobras-bandeja-270g,40.0,24.0,0.7,3.0,1.5,0.0,0.0,0.0,0.0,2025-10-16 09:02:40,Não especificada,7898209649006
Beterraba Orgânica TAEQ 600g,https://www.paodeacucar.com/produto/132921/beterraba-organica-taeq-600g,100.0,49.0,11.1,1.9,0.0,0.0,3.4,0.0,10.0,2025-10-16 09:02:58,Não especificada,7895000288113
Queijo Gorgonzola Pedaço VIGOR 180g,https://www.paodeacucar.com/produto/126328/queijo-gorgonzola-pedaco-vigor-180g,30.0,100.0,0.0,6.0,8.0,4.0,0.0,0.0,330.0,2025-10-16 09:03:34,Não especificada,79952
Queijo Mussarela Fatiado Light Tirolez 150g,https://www.paodeacucar.com/produto/355487/queijo-mussarela-fatiado-light-tirolez-150g,30.0,87.0,0.0,8.4,5.7,3.6,0.0,0.0,156.0,2025-10-16 09:03:52,Não especificada,7896030520181
Cebola Orgânica TAEQ 600g,https://www.paodeacucar.com/produto/133784/cebola-organica-taeq-600g,100.0,39.0,8.9,1.7,0.0,0.0,2.2,0.0,1.0,2025-10-16 09:04:10,Não especificada,7895000288137
Suco Orgânico NATIVE Sabor Tropical de Maracujá 200ml,https://www.paodeacucar.com/produto/15094/suco-organico-native-sabor-tropical-de-maracuja-200ml,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,6.5,2025-10-16 09:04:28,Não especificada,7898206500706
Queijo Mussarela Fatiado Light Zero Lactose Tirolez 150g,https://www.paodeacucar.com/produto/355489/queijo-mussarela-fatiado-light-zero-lactose-tirolez-150g,30.0,82.0,0.1,8.4,0.2,3.3,0.0,0.1,147.0,2025-10-16 09:04:46,Não especificada,7896030520198
Abobrinha Italiana Orgânica TAEQ 600g,https://www.paodeacucar.com/produto/136019/abobrinha-italiana-organica-taeq-600g,100.0,19.0,4.3,1.1,0.0,0.0,1.4,0.0,0.0,2025-10-16 09:05:03,Não especificada,7895000288069
Berinjela 450g (2 Unidades),https://www.paodeacucar.com/produto/50313/berinjela-450g-(2-unidades),50.0,11.0,2.1,0.0,0.0,0.0,1.6,0.0,0.0,2025-10-16 09:05:24,Não especificada,337052
Batata Doce Orgânica 600G,https://www.paodeacucar.com/produto/1763/batata-doce-organica-600g,100.0,7.0,2.0,0.2,0.0,0.0,1.0,0.0,2.7,2025-10-16 09:05:44,Não especificada,742832804257
Cebola Roxa Orgânica TAEQ 600g,https://www.paodeacucar.com/produto/155630/cebola-roxa-organica-taeq-600g,100.0,39.0,8.9,1.7,0.0,0.0,2.2,0.0,3.0,2025-10-16 09:06:02,Não especificada,7895000469574
Tomate Orgânico para Molho TAEQ 500g,https://www.paodeacucar.com/produto/197222/tomate-organico-para-molho-taeq-500g,100.0,15.0,3.1,1.1,0.0,0.0,1.2,0.0,1.0,2025-10-16 09:06:22,Não especificada,7895000369379
Molho de Tomate com Pedaços Tradicional Heinz Sachê 240g,https://www.paodeacucar.com/produto/1633718/molho-de-tomate-com-pedacos-tradicional-heinz-sache-240g,60.0,26.0,5.8,0.4,0.0,0.0,0.5,3.7,217.0,2025-10-16 09:06:40,Não especificada,7896102503814
Suco Orgânico NATIVE Sabor de Maracujá 1 Litro,https://www.paodeacucar.com/produto/161345/suco-organico-native-sabor-de-maracuja-1-litro,0.0,100.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-16 09:06:59,Não especificada,7898206500683
Cogumelo Orgânico Shimeji FUNZIONALE 200g,https://www.paodeacucar.com/produto/84344/cogumelo-organico-shimeji-funzionale-200g,100.0,28.0,5.3,2.2,0.0,0.0,2.2,0.0,0.0,2025-10-16 09:08:00,Não especificada,7898291163039
Tomate Mascote Orgânico Taeq 150g,https://www.paodeacucar.com/produto/197300/tomate-mascote-organico-taeq-150g,100.0,15.0,3.1,1.1,0.0,0.0,1.2,0.0,1.0,2025-10-16 09:08:17,Não especificada,7895000371556
Suco Orgânico NATIVE Sabor Laranja 200ml,https://www.paodeacucar.com/produto/172634/suco-organico-native-sabor-laranja-200ml,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.4,2025-10-16 09:08:55,Não especificada,7898206500386
Nectar de Tangerina Orgânico NATIVE 200ML,https://www.paodeacucar.com/produto/331032/nectar-de-tangerina-organico-native-200ml,0.0,77.0,18.0,0.9,0.0,0.0,0.0,0.0,5.2,2025-10-16 09:09:12,Não especificada,7898206502205
Pasta de Tofu Cream com Cebola e Alho Orgânica Ecobras Pote 200g,https://www.paodeacucar.com/produto/133390/pasta-de-tofu-cream-com-cebola-e-alho-organica-ecobras-pote-200g,20.0,32.0,1.0,1.4,3.0,1.1,0.0,0.0,90.0,2025-10-16 09:09:34,Não especificada,7898209649730
Manjericão Orgânico TAEQ Unidade,https://www.paodeacucar.com/produto/113000/manjericao-organico-taeq-unidade,100.0,21.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,2025-10-16 09:09:52,Não especificada,7895000289783
Pasta de Tofu Cream Orgânica Original Ecobras Pote 200g,https://www.paodeacucar.com/produto/120465/pasta-de-tofu-cream-organica-original-ecobras-pote-200g,20.0,33.0,1.0,1.4,3.0,1.2,0.0,0.0,96.0,2025-10-16 09:10:46,Não especificada,7898209649716
Cebolinha Orgânica TAEQ Maço,https://www.paodeacucar.com/produto/149418/cebolinha-organica-taeq-maco,50.0,25.0,5.65,1.8,0.0,0.0,3.5,0.0,4.0,2025-10-16 09:11:41,Não especificada,7895000289592
Batata Bolinha Orgânica Taeq 600g,https://www.paodeacucar.com/produto/451123/batata-bolinha-organica-taeq-600g,100.0,64.0,14.7,1.8,0.0,0.0,1.2,0.0,0.0,2025-10-16 09:11:59,Não especificada,7895000500185
Escarola Orgânica Taeq 150g,https://www.paodeacucar.com/produto/124601/escarola-organica-taeq-150g,100.0,53.0,4.0,2.0,0.0,0.0,4.0,0.0,29.0,2025-10-16 09:12:16,Não especificada,7895000289752
Tofu Defumado Orgânico Ecobras Pacote 100g,https://www.paodeacucar.com/produto/60691/tofu-defumado-organico-ecobras-pacote-100g,40.0,53.0,1.6,7.2,3.2,0.0,0.0,0.0,200.0,2025-10-16 09:12:34,Não especificada,7898209649204
Org Cebola Roxa 600g,https://www.paodeacucar.com/produto/1624432/org-cebola-roxa-600g,100.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,34.0,2025-10-16 09:13:11,Não especificada,7898966993848
Garden Salada RIO DE UNA 250g,https://www.paodeacucar.com/produto/3833/garden-salada-rio-de-una-250g,100.0,20.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2025-10-16 09:13:28,Não especificada,7898059851079
Cebola Aperitivo Orgânica Taeq 500g,https://www.paodeacucar.com/produto/8358/cebola-aperitivo-organica-taeq-500g,100.0,39.0,8.9,1.7,0.0,0.0,2.2,0.0,0.6,2025-10-16 09:13:49,Não especificada,7895000355976
Suco De Laranja E Maçã Integral Orgânico ORGANOBIO 1L,https://www.paodeacucar.com/produto/464455/suco-de-laranja-e-maca-integral-organico-organobio-1l,0.0,99.0,22.0,1.2,0.0,0.0,1.0,20.0,0.0,2025-10-16 09:14:07,Não especificada,7898097891860
Queijo Frescal Ultrafiltrado Light Polenghi Pote 400g,https://www.paodeacucar.com/produto/80518/queijo-frescal-ultrafiltrado-light-polenghi-pote-400g,30.0,41.0,1.2,3.6,0.1,1.5,0.0,1.1,105.0,2025-10-16 09:14:43,Não especificada,7891143015425
Hambúrguer à Base de Soja Orgânico Sabor Alho e Azeitona ECOBRAS 180g,https://www.paodeacucar.com/produto/220280/hamburguer-a-base-de-soja-organico-sabor-alho-e-azeitona-ecobras-180g,90.0,112.0,11.0,5.2,5.0,0.8,1.1,0.0,339.0,2025-10-16 09:15:01,Não especificada,7898209644056
Bisnaguinha Egg Sponge PANCO Pacote 250g,https://www.paodeacucar.com/produto/3771/bisnaguinha-egg-sponge-panco-pacote-250g,50.0,173.0,27.0,3.9,5.4,2.2,1.1,0.0,117.0,2025-10-16 09:16:49,Não especificada,7891203010568
Queijo Mussarela de Búfala Bolinha Búfala Almeida Prado 200g,https://www.paodeacucar.com/produto/147274/queijo-mussarela-de-bufala-bolinha-bufala-almeida-prado-200g,30.0,95.0,0.0,5.3,0.3,4.8,0.0,0.0,87.0,2025-10-16 09:17:27,Não especificada,7898266070133
Queijo Mussarela Palito Atilatte 304g 8 Unidades,https://www.paodeacucar.com/produto/559551/queijo-mussarela-palito-atilatte-304g-8-unidades,38.0,112.0,0.0,8.6,8.6,5.8,0.0,0.0,311.0,2025-10-16 09:18:03,Não especificada,7897277705157
Biscoito Chocolate ao Leite Bauducco Choco Biscuit Pacote 80g,https://www.paodeacucar.com/produto/442458/biscoito-chocolate-ao-leite-bauducco-choco-biscuit-pacote-80g,30.0,131.0,17.0,1.6,0.1,3.6,0.6,11.0,41.0,2025-10-16 09:18:21,Não especificada,7891962056500
Farinha de Trigo Tradicional DONA BENTA Pacote 1kg,https://www.paodeacucar.com/produto/43619/farinha-de-trigo-tradicional-dona-benta-pacote-1kg,50.0,171.0,36.0,5.5,0.6,0.1,1.5,0.0,0.0,2025-10-16 09:18:57,Não especificada,7896005202074
Queijo Processado UHT Light Polenguinho 68g 4 Unidades,https://www.paodeacucar.com/produto/321739/queijo-processado-uht-light-polenguinho-68g-4-unidades,30.0,51.0,1.7,3.6,0.1,2.2,0.0,1.3,179.0,2025-10-16 09:19:33,Não especificada,7891143017443
Queijo Parmesão Fatiado Vigor 200g,https://www.paodeacucar.com/produto/1233077/queijo-parmesao-fatiado-vigor-200g,30.0,117.0,0.0,9.1,9.0,5.7,0.0,0.0,196.0,2025-10-16 09:20:45,Não especificada,7896625210664
Queijo Gorgonzola Tirolez Forma Pedaço 200g,https://www.paodeacucar.com/produto/96965/queijo-gorgonzola-tirolez-forma-pedaco-200g,30.0,0.0,0.0,6.0,0.4,0.0,0.0,0.0,468.0,2025-10-16 09:21:03,Não especificada,995092
