nome,url,porcao,calorias,carboidratos,proteinas,gorduras,gorduras_saturadas,fibras,acucares,sodio,data_coleta,categoria,codigo
0.0,93.0,0.0,0.0,0.0,0.0,Refrigerante Orgânico WEWI Guaraná Garrafa 255ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/413083/refrigerante-organico-wewi-guarana-garrafa-255ml,https://www.paodeacucar.com/produto/413083/refrigerante-organico-wewi-guarana-garrafa-255ml,refrigerante organico wewi guarana garrafa 255ml,
0.0,116.0,0.0,0.0,0.0,0.0,Chá Preto com Gás Limão Leão Lata 290ml,0.0,0.0,72.0,https://www.paodeacucar.com/produto/462212/cha-preto-com-gas-limao-leao-lata-290ml,https://www.paodeacucar.com/produto/462212/cha-preto-com-gas-limao-leao-lata-290ml,cha preto com gas limao leao lata 290ml,
0.0,97.0,0.0,0.0,0.0,0.0,Refrigerante Orgânico Lemon Sour Zero Sódio Wewi Premium Garrafa 255ml,0.0,0.0,0.0,https://www.paodeacucar.com/produto/412868/refrigerante-organico-lemon-sour-zero-sodio-wewi-premium-garrafa-255ml,https://www.paodeacucar.com/produto/412868/refrigerante-organico-lemon-sour-zero-sodio-wewi-premium-garrafa-255ml,refrigerante organico lemon sour zero sodio wewi premium garrafa 255ml,
0.0,116.0,9.2,0.0,6.0,3.5,Leite Longa Vida Integral DÁLIA 1 Litro,0.0,6.2,129.0,https://www.paodeacucar.com/produto/5729/leite-longa-vida-integral-dalia-1-litro,https://www.paodeacucar.com/produto/5729/leite-longa-vida-integral-dalia-1-litro,leite longa vida integral dalia 1 litro,
21.0,90.0,21.0,0.0,0.0,0.0,"Refrigerante Citrus Original Schweppes Garrafa 1,5l",0.0,0.0,17.0,"https://www.paodeacucar.com/produto/444513/refrigerante-citrus-original-schweppes-garrafa-1,5l","https://www.paodeacucar.com/produto/444513/refrigerante-citrus-original-schweppes-garrafa-1,5l","refrigerante citrus original schweppes garrafa 1,5l",
1.9,12.0,2.0,0.0,0.0,0.0,Refresco em Pó Laranja Tang Pacote 18g,0.0,0.0,28.0,https://www.paodeacucar.com/produto/1433063/refresco-em-po-laranja-tang-pacote-18g,https://www.paodeacucar.com/produto/1433063/refresco-em-po-laranja-tang-pacote-18g,refresco em po laranja tang pacote 18g,
20.0,80.0,20.0,0.0,0.0,0.0,Ginger Beer St. Pierre 270ml,0.0,0.0,19.0,https://www.paodeacucar.com/produto/596095/ginger-beer-st--pierre-270ml,https://www.paodeacucar.com/produto/596095/ginger-beer-st--pierre-270ml,ginger beer st  pierre 270ml,
15.0,76.0,19.0,2.0,0.3,0.0,"Suco Misto de Laranja, Cenoura e Beterraba GREENPEOPLE 1 Litro",0.0,1.6,0.0,"https://www.paodeacucar.com/produto/401637/suco-misto-de-laranja,-cenoura-e-beterraba-greenpeople-1-litro","https://www.paodeacucar.com/produto/401637/suco-misto-de-laranja,-cenoura-e-beterraba-greenpeople-1-litro","suco misto de laranja, cenoura e beterraba greenpeople 1 litro",
27.0,121.0,28.0,0.0,0.0,0.0,Suco Uva Xandô Garrafa 300ml,0.0,1.0,43.0,https://www.paodeacucar.com/produto/459781/suco-uva-xando-garrafa-300ml,https://www.paodeacucar.com/produto/459781/suco-uva-xando-garrafa-300ml,suco uva xando garrafa 300ml,
8.0,34.0,8.0,0.0,0.0,0.0,Bebida Adoçada Uva Del Valle Frut Garrafa 1l,0.0,0.0,63.0,https://www.paodeacucar.com/produto/421804/bebida-adocada-uva-del-valle-frut-garrafa-1l,https://www.paodeacucar.com/produto/421804/bebida-adocada-uva-del-valle-frut-garrafa-1l,bebida adocada uva del valle frut garrafa 1l,
0.0,91.0,21.0,0.0,0.0,0.0,Energético Red Bull Energy Drink 473ml,0.0,0.0,82.0,https://www.paodeacucar.com/produto/105453/energetico-red-bull-energy-drink-473ml,https://www.paodeacucar.com/produto/105453/energetico-red-bull-energy-drink-473ml,energetico red bull energy drink 473ml,
21.0,84.0,21.0,0.0,0.0,0.0,Néctar Laranja e Maçã Qualitá Caixa 1l,0.0,0.0,0.0,https://www.paodeacucar.com/produto/1616128/nectar-laranja-e-maca-qualita-caixa-1l,https://www.paodeacucar.com/produto/1616128/nectar-laranja-e-maca-qualita-caixa-1l,nectar laranja e maca qualita caixa 1l,
0.0,52.0,13.0,0.0,0.0,0.0,Água de Coco Esterilizada Integral Villa Piva Garrafa 300ml,0.0,0.0,22.0,https://www.paodeacucar.com/produto/464025/agua-de-coco-esterilizada-integral-villa-piva-garrafa-300ml,https://www.paodeacucar.com/produto/464025/agua-de-coco-esterilizada-integral-villa-piva-garrafa-300ml,agua de coco esterilizada integral villa piva garrafa 300ml,
